cse_id,alert_id,asset_id,severity,alert_type,created_time,acknowledged_time,investigation_start,investigation_end,closure_time,escalated,disposition,investigation_evidence,investigation_notes,asset_criticality,expected_activity,observed_activity
CSE-A,ALT-00001,ASSET-092,CRITICAL,Phishing,2026-03-04 10:44:43,2026-03-04 11:10:40,2026-03-04 11:29:40,2026-03-04 15:20:42,2026-03-04 15:54:12,False,False Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,CRITICAL,108,96
CSE-A,ALT-00002,ASSET-059,LOW,Suspicious Login,2026-06-28 13:44:09,2026-06-28 13:52:57,2026-06-28 13:55:57,2026-06-28 17:25:03,2026-06-28 20:30:35,False,True Positive,True,Investigation completed; evidence recorded and escalated per playbook.,HIGH,198,177
CSE-C,ALT-00003,ASSET-059,MEDIUM,Privilege Escalation,2026-05-28 10:11:02,2026-05-28 10:54:16,,,2026-05-28 18:31:30,False,Benign True Positive,False,,HIGH,136,23
CSE-B,ALT-00004,ASSET-052,MEDIUM,Brute Force,2026-06-05 13:10:10,2026-06-05 14:14:34,2026-06-05 14:35:34,2026-06-05 17:02:48,2026-06-05 15:41:48,False,Under Investigation,True,Investigation completed; evidence recorded and escalated per playbook.,CRITICAL,124,117
CSE-C,ALT-00005,ASSET-018,CRITICAL,Network Anomaly,2026-04-12 21:56:29,2026-04-12 22:06:45,2026-04-12 22:30:45,2026-04-12 22:50:19,2026-04-13 02:06:42,False,Benign True Positive,True,Investigation completed; evidence recorded and escalated per playbook.,CRITICAL,96,43
CSE-B,ALT-00006,ASSET-015,LOW,Unauthorized Access,2026-06-02 15:30:38,2026-06-02 16:35:11,2026-06-02 16:53:11,2026-06-02 17:00:54,2026-06-03 02:14:59,False,Benign True Positive,True,Analyst reviewed logs and confirmed activity with evidence archived.,CRITICAL,110,79
CSE-E,ALT-00007,ASSET-047,LOW,Brute Force,2026-06-10 17:39:38,2026-06-10 18:09:47,2026-06-10 18:15:47,2026-06-10 20:39:36,2026-06-10 18:35:25,False,True Positive,True,Analyst investigation performed; packet capture and EDR evidence attached.,MEDIUM,148,78
CSE-E,ALT-00008,ASSET-089,LOW,Brute Force,2026-05-05 18:10:49,2026-05-05 18:31:57,2026-05-05 18:49:57,2026-05-05 19:37:13,2026-05-06 02:10:10,False,Under Investigation,True,Analyst investigation performed; packet capture and EDR evidence attached.,CRITICAL,149,95
CSE-C,ALT-00009,ASSET-030,HIGH,Network Anomaly,2026-01-31 10:05:21,2026-01-31 10:07:58,,,2026-01-31 12:19:58,False,Under Investigation,False,N/A,CRITICAL,94,41
CSE-E,ALT-00010,ASSET-053,HIGH,Network Anomaly,2026-02-24 17:04:15,2026-02-24 18:49:45,,,2026-02-24 20:50:51,False,False Positive,False,,HIGH,83,64
CSE-A,ALT-00011,ASSET-002,CRITICAL,Privilege Escalation,2026-01-28 12:14:34,2026-01-28 12:30:42,2026-01-28 12:39:42,2026-01-28 16:50:57,2026-01-28 22:38:48,True,Escalated to Tier-2,True,Analyst reviewed logs and confirmed activity with evidence archived.,MEDIUM,188,157
CSE-D,ALT-00012,ASSET-028,MEDIUM,Unauthorized Access,2026-01-16 09:02:24,2026-01-16 09:13:23,2026-01-16 09:28:23,2026-01-16 12:09:50,2026-01-16 21:31:08,False,True Positive,True,Analyst investigation performed; packet capture and EDR evidence attached.,MEDIUM,154,151
CSE-C,ALT-00013,ASSET-032,CRITICAL,Network Anomaly,2026-05-09 18:07:10,2026-05-09 18:11:42,2026-05-09 18:17:42,2026-05-09 18:22:20,2026-05-09 20:32:07,False,Escalated to Tier-2,True,Analyst reviewed logs and confirmed activity with evidence archived.,CRITICAL,100,32
CSE-E,ALT-00014,ASSET-013,MEDIUM,Phishing,2026-02-22 14:21:15,2026-02-22 14:59:40,2026-02-22 15:20:40,2026-02-22 16:42:09,2026-02-22 16:38:40,False,Escalated to Tier-2,True,Investigation completed; evidence recorded and escalated per playbook.,CRITICAL,124,77
CSE-C,ALT-00015,ASSET-018,LOW,Data Exfiltration,2026-04-05 16:28:53,2026-04-05 17:04:38,2026-04-05 17:25:38,2026-04-05 17:43:38,2026-04-05 19:58:37,False,Escalated to Tier-2,True,Analyst investigation performed; packet capture and EDR evidence attached.,CRITICAL,103,41
CSE-C,ALT-00016,ASSET-001,HIGH,Data Exfiltration,2026-03-29 13:30:32,2026-03-29 14:02:48,,,2026-03-29 15:10:28,False,False Positive,False,,HIGH,106,39
